anchor_id,distance,x,y,z
3,5.271961,1.3934539286096757,-1.8041996435820136,0.09457081715351645
3,5.060895,1.2808540487436906,-1.8232594336607495,0.32604799137704454
3,5.112489,1.3976631273288755,-1.775733036285084,0.5514511216372965
3,5.074966,1.4688148111602366,-1.737807627476767,0.765557946860125
3,5.032753,1.389288316896139,-1.9279492836053387,0.8409820336238946
3,5.145321,1.304884306024712,-2.185367879623379,0.88183049849956
3,5.192225,1.205446992587395,-2.456371930471804,0.9051602184973817
3,5.267271,1.0826533404205454,-2.678382835851967,0.9306465197020618
3,5.234438,0.9203118506750665,-2.8096145283194116,0.9476048867776272
3,5.159392,0.6328434813231371,-2.833895092576616,0.9304433524544639
3,5.13125,0.463707231959381,-2.838422816862975,0.9381756552803727
3,4.971778,0.2911285282220707,-2.807069203680866,0.9394033663737398
3,4.807616,0.13172528241465686,-2.772924749050303,0.9212214504346947
3,4.704428,-0.00873981711028008,-2.750191989726144,0.9432593697078215
3,4.479291,0.04874140030726387,-2.473914962748064,0.9440781249304947
3,4.357342,0.05802306295116426,-2.326933546947658,0.9690890110821928
3,4.240083,0.08114155655457203,-2.20172859033859,0.9672904732917521
3,4.446458,0.08877725098240652,-2.394190543319733,0.9733231571356601
3,4.385484,0.08654558890217728,-2.3418940419363046,1.1712353178529458
3,4.160346,0.14989448548937687,-2.1382059265075952,1.3148694983659277
3,4.043087,0.16668378139900664,-1.9790677957477432,1.4797466506485217
3,3.93521,0.2841514401750792,-1.8287169176808153,1.6140757639509011
3,3.916448,0.36885277651956716,-1.6769093837006877,1.7280557790694195
3,3.916448,0.43136308659736294,-1.5865674818552349,1.781630638074981
3,3.963351,0.5779699136538661,-1.4237846368173321,1.8635260048519813
3,3.968042,0.7546884272220339,-1.3059179697057384,1.9211145719704663
3,4.104062,0.9282144791910405,-1.1729215240487496,1.9599929434608194
3,4.193179,1.091637832184244,-1.046085846546235,1.974691817273388
3,4.352651,1.3110605140667921,-0.91906907410995,1.9658767866891382
3,4.46522,1.423331083453342,-0.8443598240268478,1.9422604392745055
3,4.4746,1.506343956324401,-0.6712581923187791,1.8665450671856934
3,4.479291,1.5037186228121728,-0.5691838666138072,1.7736057993282124
3,4.376103,1.483320885725632,-0.42104129083639624,1.5912621341087116
3,4.408936,1.4857135564872903,-0.3443652707256276,1.3799853300544263
3,4.376103,1.4780549625935344,-0.29840874384283106,1.2384000546917826
3,4.432387,1.5035586773564682,-0.23257419175214436,1.01357104194396
3,4.488671,1.5071866028060228,-0.21423326437971238,0.8791701658991229
3,3.888306,0.9345500422686441,-0.27392701637550804,0.95719286172424
3,3.728834,0.7572121439873813,-0.2734013838160375,0.9554088902983278
3,3.588123,0.5954180551249748,-0.26957037852763455,0.9505418004411785
3,3.494316,0.42188822704384615,-0.2537572529471659,0.9448999098904795
3,3.386438,0.24717097081042802,-0.2374987909551253,0.9439955647678406

-2.6353183488346943,0.906995636140584,2.164841199497772,0.0,1.0

-2.6353183488346943,0.906995636140584,2.164841199497772,0.0,1.0

3,3.184752,0.1018249656271763,-0.21639882704101612,0.9427274002306034
3,3.081564,0.0249039308741363,-0.15476111889304786,0.9425504822157914
3,2.992448,-0.006061329135494335,-0.04713901737302266,0.9371787753046668
3,3.072184,0.03233524892260006,-0.15384942063526466,0.9714858625747282
3,3.217585,0.13459555812755553,-0.1985676413838926,0.9574801144983699
3,3.269179,0.19019263149342747,-0.19722542018201328,0.8705835965042623
3,3.29263,0.164279834936137,-0.10019649466325012,0.7085493005534307
3,3.15661,0.02340516634765152,0.01931245121592578,0.6758756220611648
3,3.086255,-0.06714972313825515,0.08195432742695792,0.678111682948012
3,2.936163,-0.16669174838800196,0.15213249865631417,0.6717124013315284
3,2.865808,-0.26277791812640294,0.2195729483613926,0.669868180748616
3,2.776691,-0.3745509033247775,0.2933081951585332,0.6659590379523395
3,2.668813,-0.47499680091955143,0.35678878777247053,0.6633846550481439
