t,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1612483640.6624255,0.54115094328992841,-0.060382493987559793,-0.036933813045808256,0.46507529346324089,0.088997275699703893,-0.12197499906831022,0.87229957923318779
1612483640.6724265,0.54179876681033123,-0.060275008339112118,-0.036542745618107539,0.46522753256012767,0.08842303575514715,-0.11845404088144076,0.87276190905350448
1612483640.6824286,0.54242657166460539,-0.060420281268148746,-0.035601296142862962,0.46518567646318248,0.089492550539933352,-0.11996502168544448,0.87246877501911746
1612483640.6924305,0.54302767326313861,-0.0604783957870067,-0.034862576435956485,0.46520802555364038,0.090000059411484756,-0.11980694748667411,0.87242637374184095
1612483640.7074335,0.54387359310351679,-0.060434385071926638,-0.034104026319054029,0.46533512799954552,0.089732378188113707,-0.11642215261192197,0.87284431678023655
1612483640.7174344,0.54441693743069963,-0.060528121278763142,-0.033277840463430505,0.46532451331580088,0.090661300925902619,-0.11775766314427588,0.87257478681923628
1612483640.7274368,0.54495080822587949,-0.060731627065431892,-0.032128265971408138,0.46522477173843896,0.092772908735316892,-0.12301253079635521,0.87168057018197964
1612483640.7374387,0.54541711989074981,-0.060709764661038029,-0.03175960156100234,0.4653084544116497,0.092113039871921348,-0.11915101189076761,0.87224209168326727
1612483640.7524407,0.54611664087539502,-0.060844765361549952,-0.030533625252504165,0.46528296836143856,0.093846728504762625,-0.12267989970474724,0.87158143228854723
1612483640.7624428,0.54651629076160479,-0.060816474832517398,-0.030223063100606684,0.46536156695578546,0.093142440521452652,-0.11883274786756765,0.87214785203450851
1612483640.7724438,0.54690574429662542,-0.060769516348501557,-0.029839710996494143,0.4654383649271544,0.09297083666501231,-0.11704330731450484,0.8723671338356499
1612483640.7824469,0.54728957149990776,-0.060917282345553075,-0.028949040142454502,0.46537865935322131,0.094537464706955343,-0.12088539743933248,0.87170642527820952
1612483640.7974498,0.54778735728901606,-0.0609658045992163,-0.028186315179326044,0.46540727317769209,0.095032290765768107,-0.1207329189757315,0.87165847443865052
1612483640.8074498,0.54806996815745102,-0.060967798210054935,-0.027874332530719678,0.46544578262715131,0.094673946908208961,-0.11836081592403586,0.87200216998882352
1612483640.8174517,0.54833532293960496,-0.06090883080515036,-0.027622460406395127,0.46551600272058319,0.094401238289332612,-0.11660301817738172,0.87223104368763194
1612483640.8324544,0.54868648301135137,-0.060943184818835205,-0.027025422052424974,0.4655369447576847,0.09476858429944672,-0.11649020551706718,0.87219510461487371
1612483640.8424566,0.54888213594838042,-0.061005991963694994,-0.026612959051062243,0.46552218230955972,0.095077669157150366,-0.11662183899120857,0.87215175358173602
1612483640.8524575,0.54905208885353052,-0.061022688230728594,-0.026294561148901135,0.46553301863633095,0.095261225482428533,-0.11656553783911094,0.87213346620067889
1612483640.8624594,0.54919608946753518,-0.060993232115270385,-0.026071507387189538,0.46556924953994699,0.095318262724811809,-0.11632158642319479,0.87214046529554201
1612483640.8724606,0.54930513575122841,-0.061047644888529373,-0.025771863122667701,0.46554982014702928,0.095540448714654225,-0.11647993813094212,0.87210539021008393
1612483640.8874645,0.54944060017783525,-0.061128020699856178,-0.025196477032237541,0.46551474185027059,0.096779372351250822,-0.1201960691827887,0.87148303664522353
1612483640.8974655,0.54947450275174936,-0.061045578898024283,-0.025246036589427465,0.46557215310871175,0.096272856927874587,-0.11850131184069816,0.87174052696929094
1612483640.9074664,0.54948616759465874,-0.061132823204816777,-0.024962662768650529,0.46551855697140715,0.096836013820913253,-0.120178695278014,0.87147710282244861
1612483640.9174685,0.54942648545556338,-0.061085739900331254,-0.025020496541756004,0.4655476279841701,0.096377504213255152,-0.11871887377866192,0.87171245934004082
1612483640.9324744,0.54920772813732632,-0.061040309922470809,-0.025100004525222153,0.46557158449271774,0.095669528956883881,-0.11643967927769557,0.87208499702254694
1612483640.9424725,0.54900524584998045,-0.06106271510000591,-0.024933275585527936,0.46555459290402756,0.096073458889030516,-0.11792986172407215,0.87184939022563046
1612483640.9524746,0.54875784242899528,-0.061065133155112111,-0.024750101174781533,0.46554738370570448,0.096671578972291297,-0.12022710846261396,0.87147328228379806
1612483640.9624765,0.54845819983570243,-0.061034110946901837,-0.024671896785409875,0.46555924783169117,0.096929990120818446,-0.12145126306527662,0.87126847439432631
1612483640.9774804,0.54790597874643665,-0.060898712768013563,-0.024929454161636846,0.46563560144955835,0.095918599326636891,-0.11860556594276307,0.87173151181617881
1612483640.9874804,0.54748873129528652,-0.060819159390819277,-0.025148855432843925,0.46567685762535593,0.09501177568684592,-0.11586930192877626,0.87217666308124997
1612483640.9974825,0.54706227044069855,-0.060837493966934525,-0.025072508114019218,0.46565708658803312,0.095155860875433304,-0.11659119030324179,0.87207530305305248
1612483641.0074835,0.54663868958091899,-0.060864123507043483,-0.024820322735804007,0.46562896967593931,0.096152668839751931,-0.12038049542283021,0.87146592773055132
1612483641.0224874,0.54594535995599336,-0.060797953632794888,-0.024892461321436771,0.4656544269745953,0.09597118935661135,-0.12043434488732539,0.87146488972534031
1612483641.0324886,0.54546065851051539,-0.060725960491276598,-0.025110343519327324,0.46569082253476612,0.09518560458016169,-0.11819251342393627,0.87183845307381036
1612483641.0424895,0.5450131216567623,-0.060750342831270315,-0.024891639803593463,0.46565816145388661,0.09615512796307521,-0.12195563324680636,0.87123102077299841
1612483641.0574925,0.54429534750751141,-0.060572889887782311,-0.025422133903828414,0.4657581204060951,0.094403143557392252,-0.11681481667483112,0.87207322993398295
1612483641.0674956,0.54387194315422149,-0.060513229095839144,-0.025406809343924128,0.46578117601204116,0.094826734116444461,-0.11893004666640067,0.87172898917586561
1612483641.0774956,0.54345599095599262,-0.060558945734414865,-0.025310152393838839,0.46573684599922349,0.095242983233882153,-0.12065169581130013,0.87147067232424014
1612483641.0874975,0.54307009449198596,-0.060563251076713009,-0.025280375897581406,0.46571729981607668,0.095550654211949679,-0.12213663964169703,0.87124055827809399
1612483641.1025004,0.54253565858086916,-0.060384029156898417,-0.025750914481994389,0.46581714540720498,0.094361605725588715,-0.11906990881455272,0.87174114920913592
1612483641.1125026,0.54224125035109905,-0.060441153731472491,-0.025671940410787825,0.46576468454009107,0.094786487846186873,-0.12078940171874558,0.87148648916060745
1612483641.1225035,0.54198482012046423,-0.060374317049889659,-0.025913642882421095,0.46579713320874983,0.09421773704679888,-0.11936300567955827,0.87172732066594782
1612483641.1325054,0.54178111303123577,-0.060370382570149095,-0.026060023509765176,0.4657887430341181,0.093891195974854624,-0.11858174687689535,0.87187364880969531
1612483641.1425066,0.5416799892655374,-0.060454237514132869,-0.025735069935607632,0.46570388992597145,0.095538091614994616,-0.12461081043403803,0.87089867716133051
1612483641.1575096,0.54158701744247872,-0.060375201619992352,-0.026203371426726796,0.4657493423409827,0.094294344355920975,-0.12094042661030528,0.87152713092751533
1612483641.1675115,0.54176618537829924,-0.060331164346666966,-0.026492536005691153,0.46576952405372246,0.093756047708717566,-0.11950541146219149,0.87177233875138649
1612483641.1775136,0.54219496776625442,-0.060371887581647077,-0.026570519108596868,0.46572837740692408,0.094115145671895106,-0.1209962762193941,0.87154995208198571
1612483641.1875145,0.54281305201307439,-0.060412478247453438,-0.026688623742326861,0.46568656002732395,0.094470801100958957,-0.12246786349932841,0.87132824926038643
1612483641.2025185,0.54396289644540319,-0.060341047349253968,-0.027397089580909237,0.46572759753687981,0.093245285035039108,-0.11878225406985567,0.87194833438073893
1612483641.2125185,0.54485022798286442,-0.06032418452034774,-0.0276733557986511,0.46572550480618002,0.093375373439502876,-0.11962409124414271,0.87182043483854843
1612483641.2225215,0.54574675561007102,-0.060338117932354329,-0.028020782740064254,0.46570913375884776,0.093084601057880523,-0.11883236671981165,0.87196853635853566
1612483641.2325225,0.54661520822134702,-0.060252812604669942,-0.02860212208488018,0.46575923902789412,0.092097297470348213,-0.11588488621421392,0.87244318566078205
1612483641.2475255,0.54779252483609198,-0.060250740615219261,-0.029069829113715501,0.46574634087173866,0.091982193359900308,-0.11592078735658158,0.87245744488079091
1612483641.2575264,0.5484196342392762,-0.060232745859938014,-0.029333166575717981,0.46574669913948874,0.092114044401009815,-0.11674919183528575,0.87233287297370998
1612483641.2675285,0.5488766160477957,-0.060400973498207111,-0.029081515275290265,0.46561188630623973,0.093841783491262765,-0.1226642688753163,0.87140849671253973
1612483641.2775304,0.54907363202192916,-0.060399627886654039,-0.029315672560779715,0.46560304679095643,0.093767447296223161,-0.12268750572240923,0.87141795057603799
1612483641.2925334,0.54884963339631176,-0.0603554896522073,-0.029743799141289912,0.46562273701681428,0.093214507945170416,-0.12127745605858253,0.87166409868335681
1612483641.3025346,0.54839956948489832,-0.060354160644823879,-0.029934423385777009,0.46561403014868596,0.093140450308276598,-0.12130061287303931,0.8716734438777487
1612483641.3125355,0.54776644141934305,-0.060394956096152863,-0.029992056997031669,0.46557217912083559,0.093508069818630454,-0.12276862792567478,0.87145088840663765
1612483641.3275385,0.54653326509335054,-0.060238871204026961,-0.030734548201456838,0.46567671370710512,0.091745337396670956,-0.1174061166250242,0.87232092440566467
1612483641.3375404,0.54564411150994541,-0.060349474320636004,-0.030563457953456621,0.46558314788907934,0.092877987975588924,-0.12138272528448793,0.87170651354329809
1612483641.3475416,0.54471974184304717,-0.060390222954222639,-0.030610533042038965,0.4655406204391821,0.093243215231014087,-0.12285153222265704,0.87148444309983508
1612483641.3575435,0.54380940486785134,-0.060302880132493991,-0.030971829820449506,0.46559332756414717,0.092615937940869586,-0.12120116516417413,0.87175421933588815
1612483641.3675456,0.54297415948242145,-0.060387431560995741,-0.030959821791665953,0.46552187191597694,0.093086026658739038,-0.12290076811722216,0.87150431990032629
1612483641.3825486,0.54193926328397179,-0.060300909930932844,-0.031483628470930516,0.4655744251715101,0.092074152514276114,-0.12003085439846764,0.87198360022271615
1612483641.3925495,0.54147405183248265,-0.060314828506405904,-0.031697713159821811,0.46555858319795845,0.091779075358635193,-0.11924047804588614,0.87213159289892273
1612483641.4025514,0.54124489205788062,-0.060271531343431994,-0.032017175059108879,0.46558048733524021,0.091241378516543611,-0.11779088001270065,0.87237327403177278
1612483641.4125526,0.54122390018763,-0.060226809888814653,-0.032273591791560086,0.46559815163667101,0.091055771652086157,-0.11762195813368521,0.87240603081716261
1612483641.4275553,0.54119192076326073,-0.060225706861454564,-0.032669299544960867,0.46558625961157035,0.090559070062689442,-0.11636575841077966,0.87263251140429809
1612483641.4375563,0.54118298232301032,-0.0602660356430684,-0.032763343833644556,0.46554417597869791,0.09092381663868461,-0.11789040715365148,0.87241236332442951
1612483641.4475591,0.541173604492861,-0.060306183601554292,-0.032864090268355003,0.46550090488129753,0.091281098486608106,-0.11939659587496944,0.87219328219566117
1612483641.4575603,0.54116384661426087,-0.060346150526482761,-0.032967961420190747,0.46545651925095521,0.091631346335809841,-0.12088451959266575,0.87197526225135658
1612483641.4725633,0.54113671623621817,-0.060387856934457529,-0.033250729187858957,0.46541062158873103,0.091592136303793953,-0.12115519580590768,0.87196631380399692
1612483641.4875672,0.541116302702496,-0.060341134712747713,-0.033637912388537028,0.4654221448306865,0.091338958424605696,-0.12097635361915443,0.87201155017587062
1612483641.4925663,0.54110020275479964,-0.060213777033309684,-0.034056976026092436,0.46551104352186878,0.090293926058306231,-0.11786097769141129,0.87249943565241517
1612483641.5025673,0.54109444587261157,-0.060281652779674011,-0.0340345695993821,0.46544400118949636,0.090957391469097815,-0.12038130342237861,0.87212211099144787
1612483641.5175703,0.54106321140408342,-0.060294569526715996,-0.034323947372979419,0.46542176444806127,0.090599785631958432,-0.11961059201584677,0.8722772301849423
1612483641.5275719,0.5410512200577291,-0.060249629404452471,-0.034527442371345737,0.46543871957426269,0.090402327958971684,-0.11943206516426592,0.87231313141054301
1612483641.5375741,0.54105279078639823,-0.060194262759708572,-0.034783676092149718,0.465469844376658,0.089855982734182965,-0.11799816269457596,0.87254808460253253
1612483641.547575,0.54115934209324335,-0.060285941168192081,-0.034439569557539004,0.46537391334320649,0.091402066734488335,-0.12342692898608899,0.87168720087962515
1612483641.562578,0.5414014091564926,-0.059996105305794828,-0.035056620397284535,0.46558532005472342,0.089673988033785373,-0.11827330237804193,0.87246794300091624
1612483641.5725799,0.541660973200913,-0.059825398357487264,-0.035193992269102969,0.46569613025177725,0.089549663611206629,-0.11830577458490907,0.87241716839795458
1612483641.582581,0.54198364381378206,-0.059660522807733457,-0.035203636632630264,0.46579836902953708,0.089871146333978538,-0.11981536521240034,0.87212346300570232
1612483641.597584,0.54253085472488316,-0.059141833176925424,-0.035894295747556981,0.46616672346791999,0.088005013302113425,-0.11442829246799073,0.8728401167726757
1612483641.6075859,0.54296928985177129,-0.058989562794253353,-0.035718337643296821,0.46626186691795229,0.08886790251808159,-0.1176227324475428,0.8722770547089933
1612483641.617588,0.54344471510638015,-0.058632676638053299,-0.035890452682235424,0.46649821045076445,0.088832792697308954,-0.11825867258793596,0.87206825475163974
1612483641.6275887,0.54393674852842766,-0.058403050407478313,-0.035846453037207959,0.46664945761585325,0.089234464015043216,-0.11996576699768166,0.87171308862918628
1612483641.6425917,0.54470153435848334,-0.057868529997527257,-0.036191159726482874,0.46702228685454195,0.088563426493825564,-0.11853809447854044,0.87177716374439584
1612483641.6525927,0.54522243002009008,-0.057490350779204447,-0.036464828974639651,0.46728821919243502,0.087961015747516677,-0.11707418596646281,0.87189346533445122
1612483641.6625957,0.5457543238832927,-0.057251163998895793,-0.036373595749706333,0.46744514012919375,0.088512010570046568,-0.11927525167679365,0.87145515047642241
1612483641.6725957,0.54628051414865197,-0.056859862796406091,-0.036611964474581316,0.46771485856541589,0.088125723255067304,-0.11863443096942287,0.8714370543914608
1612483641.6825976,0.54679804950015987,-0.05657421538444779,-0.036617988259160947,0.46790322782697874,0.088432285205376451,-0.1201433165378105,0.87109809081052691
1612483641.6976037,0.54752968253676715,-0.05610642999796922,-0.036816385616938452,0.4682238098802568,0.088226228447276622,-0.12018860644405412,0.87094046602292086
1612483641.7076018,0.54798233537095009,-0.055816483798297511,-0.036944145039044224,0.46842204360382161,0.088094855389023632,-0.12021775415293305,0.87084314150507725
1612483641.7176037,0.54839917304969776,-0.055548812616914606,-0.037067866632830473,0.4686044793378219,0.087969174209721016,-0.12024600239544658,0.87075379140219822
1612483641.7276058,0.54877304719829834,-0.055307810030956389,-0.037187036950964703,0.46876797354936961,0.087850097539983421,-0.1202732676557525,0.87067404258082759
1612483641.7426088,0.5492159747329155,-0.054981926723052632,-0.037589512701840438,0.46901183590612355,0.086677279479735178,-0.1167211270977894,0.87114357340852877
1612483641.7526097,0.54946898740072947,-0.054808578720195816,-0.037591953449233065,0.46911119946503999,0.087140730717674961,-0.11885808015005168,0.87075480611335454
