method,avg_position_error,avg_constant_bias_error,avg_linear_bias_error,avg_improvement,avg_refinement_time,std_position_error,std_constant_bias_error,std_linear_bias_error,std_improvement,std_refinement_time,success_count,total_runs
LM,3.485572924106801,0.6073394696071799,0.23964441819639115,-2.5529756046701952,,0.0,0.0,0.0,0.0,,1,1
IRLS,2.9205751103062396,0.6341914029487766,0.14424181132295832,-1.9879777908696337,,0.0,0.0,0.0,0.0,,1,1
GMM,1.9231870689590507,0.02420583722848444,0.013199680920683576,-0.9905897495224448,,0.0,0.0,0.0,0.0,,1,1
EM,1.1216291708086414,0.030368726173532756,0.013199680920683576,-0.1890318513720356,,0.0,0.0,0.0,0.0,,1,1
