measurement_index,position_error,constant_bias_error,linear_bias_error,gdop,residual,condition_number
2,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
3,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
4,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
5,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
6,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
7,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
8,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
9,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
10,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
11,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
12,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
13,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
14,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
15,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
16,11.928544202904224,0.02420583722848444,0.013199680920683576,408.3347110552353,0.0024992749967363004,4133.251278143259
17,11.857123430636054,0.02420583722848444,0.013199680920683576,323.0410541623475,0.0032011414596248206,3186.361913820772
18,11.78604249539379,0.02420583722848444,395.8023785924987,258.63481113527615,0.0039764039612762364,2516.125647048044
19,11.715141892174842,0.02420583722848444,196.4997812806724,209.26237625283883,0.0049407307287097895,1971.685634546691
20,11.644541876691262,0.02420583722848444,160.64397156623306,170.91464686778212,0.006079889050991305,1589.5277164107142
21,11.573891256201554,0.02420583722848444,156.38997445675315,140.77061082824838,0.007332366097860323,1313.8093673353144
22,11.508297099819075,0.02420583722848444,148.58876865293252,116.92910858978898,0.008910389704662352,1111.3307181964105
23,11.436146193309895,0.02420583722848444,149.66175664191312,97.69561614111585,0.010705918565359865,954.6371210879839
24,11.364163793948439,0.02420583722848444,172.18536238444966,82.15396321011546,0.012949059467117774,845.2608213765669
25,11.292372829157054,0.02420583722848444,127.91944053297331,69.50309630363387,0.015467564988926626,742.4644792440029
26,11.22630994723021,0.02420583722848444,0.013199680920683576,59.192361764428135,0.01839422136503024,722.7098922486089
27,11.155011547055793,0.02420583722848444,0.013199680920683576,50.64084605706818,0.021662045933589284,701.6071034875033
28,11.084827133691784,0.02420583722848444,0.013199680920683576,43.56242502632703,0.025276085401418617,701.3364864014889
29,11.079180917122017,0.02420583722848444,0.013199680920683576,38.10118369406551,0.02984951609099648,701.1976596677864
30,11.01190061868329,0.02420583722848444,0.013199680920683576,33.139624225014636,0.0344178261749566,702.871081129609
31,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
32,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
33,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
34,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
35,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
36,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
37,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
38,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
39,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
40,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
41,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
42,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
43,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
44,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
45,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
46,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
47,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
48,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
49,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
50,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
51,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
52,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
53,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
54,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
55,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
56,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
57,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
58,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
59,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
60,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
61,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
62,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
63,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
64,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
65,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
66,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
67,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
68,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
69,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
70,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
71,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
72,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
73,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
74,10.933764941476829,0.02420583722848444,47.77846576919632,28.92937280136574,0.03925246874844895,447.7427430625238
