x,y,z,distance
5.0,0.0,0.0,7.771118334825997
4.860051127865923,0.9366980781474848,0.0202020202020202,7.885005693273606
4.5480651263918705,1.8207706161137256,0.0404040404040404,7.909902671696544
4.078805007666333,2.6212888119059277,0.06060606060606061,7.950023801204141
3.472461293938468,3.310985156101042,0.0808080808080808,7.628032858241702
2.753805530287507,3.867178762259169,0.10101010101010101,8.081546100011884
1.9511917277361335,4.272513917574253,0.12121212121212122,7.724814609717222
1.0954455589326924,4.515488095240698,0.1414141414141414,7.103922381856919
0.21868456262427063,4.590753932608774,0.1616161616161616,6.885668318828965
-0.6468856285149318,4.499188372186057,0.18181818181818182,6.450633550102153
-1.4701539765278033,4.247730952808358,0.20202020202020202,6.481779882629717
-2.2222222222222214,3.8490017945975055,0.2222222222222222,6.038510316612089
-2.877418376426252,3.3207178267081043,0.24242424242424243,5.161495213590413
-3.414170007468672,2.684932970453135,0.2626262626262626,4.448176662385692
-3.8157077341246706,1.9671340579207015,0.2828282828282828,3.7882475076187663
-4.070576251697867,1.1952290290242487,0.303030303030303,3.30149646173098
-4.172937857250809,0.398467252234706,0.3232323232323232,2.590722909716554
-4.122661497524896,-0.393666441966817,0.3434343434343434,2.3265426295207896
-3.925198528422944,-1.1525422779876657,0.36363636363636365,1.8519163411597954
-3.591254337999691,-1.8514202898077186,0.38383838383838387,1.3556334737273037
-3.1362724487212237,-2.4663919147185753,0.40404040404040403,1.2411838452164883
-2.5797544064511237,-2.977195292910714,0.42424242424242425,1.5318463160440379
-1.9444444444444462,-3.367876570272816,0.4444444444444444,1.9735178583379387
-1.2554123844507104,-3.6272758698138787,0.46464646464646464,2.81388079805736
-0.5390713570957774,-3.7493236434883817,0.48484848484848486,2.776898201363542
0.17783140257358263,-3.733140560582959,0.5050505050505051,3.4228012858879278
0.8692122369791992,-3.5829416407888166,0.5252525252525252,3.648004143332665
1.5106000472795857,-3.307752710380068,0.5454545454545454,3.877350148975533
2.080002049472477,-2.9209541714936282,0.5656565656565656,5.908292041217595
2.55865569027045,-2.439673272916558,0.5858585858585859,5.259227110339813
2.9316410992601756,-1.884051333557388,0.606060606060606,5.505667344918682
3.188334315408733,-1.2764165143890054,0.6262626262626262,5.839194980760486
3.322688015989967,-0.640395624855935,0.6464646464646464,6.118059071212857
3.333333333333334,-8.164311994315689e-16,0.6666666666666666,6.628901387459764
3.223503299094744,0.621279337546801,0.6868686868686869,5.978000828816415
3.0007852380317503,1.2013331900131774,0.7070707070707071,6.606486367031959
2.676715786281032,1.7202207828132634,0.7272727272727273,6.425968512718506
2.266237897096685,2.1608534702975217,0.7474747474747475,6.590046845878304
1.78704401433551,2.509552175508609,0.7676767676767677,5.851636282871579
1.2588333727329917,2.7564605919833878,0.7878787878787878,5.937301763544804
0.7025139997503158,2.8958021480347957,0.8080808080808081,5.814080794803315
0.13938136958470132,2.925975033970427,0.8282828282828283,5.6786081840828215
-0.4096942313927894,2.84948596905117,0.8484848484848485,5.259244693269115
-0.9250407043321011,2.6727295882839113,0.8686868686868687,4.448679537828002
-1.3888888888888866,2.405626121623442,0.8888888888888888,4.413319136115485
-1.7859838198507778,2.06113520278434,0.9090909090909092,4.0015163644535185
-2.104081516230693,1.654667993418793,0.9292929292929293,4.158810532325791
-2.3343153196997974,1.2034231883750202,0.9494949494949494,3.0506616314080675
-2.4714212956737054,0.7256747676218649,0.9696969696969697,2.39045115397139
-2.513817986295668,0.24004051339440297,0.9898989898989898,2.545942732831503
-2.4635416265697545,-0.23523970312651302,1.0101010101010102,1.7135800484298904
-2.326043572398782,-0.6829880165852829,1.0303030303030303,0.9860159650892952
-2.10986192357482,-1.0877094202620323,1.0505050505050504,0.8115784014928755
-1.826183957483244,-1.4361269376842338,1.0707070707070707,1.3508197445867527
-1.4883198498756496,-1.7176126689869495,1.0909090909090908,1.2380397415366124
-1.1111111111111143,-1.9245008972987512,1.111111111111111,1.7856858902263264
-0.7102991122550076,-2.0522745052894313,1.1313131313131313,1.6729206814835285
-0.3018799599736378,-2.0996212403534935,1.1515151515151514,2.201614116491846
0.09852820953401151,-2.068361661944613,1.1717171717171717,2.6419248997221
0.47628067779682104,-1.963255693582913,1.1919191919191918,2.9820638479368755
0.8182416922764403,-1.7916993847892044,1.212121212121212,4.521878716933047
1.1132405335204807,-1.5633275847430692,1.2323232323232323,3.612812407430357
1.352432293428665,-1.2895415871130393,1.2525252525252524,3.8808403908929705
1.529551877874875,-0.9829833044647232,1.2727272727272727,4.179209670252551
1.641054427048613,-0.6569790882884592,1.2929292929292928,4.8690639433182135
1.686140187218789,-0.32497688425525256,1.313131313131313,4.503844704436958
1.666666666666667,-8.164311994315689e-16,1.3333333333333333,4.4683491006168765
1.586955470323567,0.30586059694611567,1.3535353535353534,4.939137912313138
1.453505349671629,0.5818957639126339,1.3737373737373737,4.747061670892103
1.2746265648957302,0.8191527537206016,1.3939393939393938,6.0228311858460195
1.0600145002549022,1.0107217844940009,1.4141414141414141,4.220876043070771
0.8202824983835133,1.1519255887580502,1.4343434343434343,5.961118487929794
0.5664750177298465,1.2404072663925243,1.4545454545454546,3.899793117543541
0.3095824405679349,1.276116200828893,1.4747474747474747,4.154704264960746
0.060078176545130195,1.2611961353320806,1.494949494949495,4.325896576908455
-0.1725028342706468,1.1997835659162823,1.5151515151515151,4.073344835315003
-0.3799274321363983,1.0977282237594634,1.5353535353535355,4.150493105579767
-0.5555555555555545,0.962250448649377,1.5555555555555556,3.951724250768043
-0.694549263275301,0.8015525788605784,1.5757575757575757,3.456157506884399
-0.793993024992714,0.6244030163844503,1.595959595959596,3.2263966497411465
-0.852922905274926,0.43971231882933454,1.6161616161616161,3.265598058332823
-0.8722663396495427,0.25612050621948185,1.6363636363636365,2.921083435606614
-0.8546981153405271,0.08161377455409721,1.6565656565656566,3.2823760011652774
-0.8044217556146142,-0.07681296428620674,1.6767676767676767,2.7782421237745245
-0.7268886163746193,-0.2134337551829007,1.696969696969697,2.348639444726762
-0.6284695091499465,-0.3239985507163499,1.7171717171717171,2.8508709152557974
-0.5160954662452645,-0.40586196064989194,1.7373737373737375,2.7186559742614347
-0.39688529330017447,-0.4580300450631861,1.7575757575757573,3.3120461854030494
-0.2777777777777788,-0.48112522432468785,1.7777777777777777,3.316725578395381
-0.1651858400593042,-0.4772731407649839,1.797979797979798,3.497324532050938
-0.06468856285149305,-0.4499188372186054,1.8181818181818183,2.9999174306382623
0.019225016494440472,-0.40358276330626625,1.8383838383838382,3.123536682831068
0.08334911861444359,-0.3435697463770098,1.8585858585858586,4.372356421287947
0.12588333727329878,-0.2756460591983387,1.878787878787879,3.8837585909526395
0.14647901756848417,-0.2057009979925098,1.8989898989898988,3.242518040072042
0.1462088965868828,-0.13940990130951791,1.9191919191919191,3.9144471798200913
0.12746265648957275,-0.08191527537206021,1.9393939393939394,2.895309007843653
0.09377453868849268,-0.037541662187912384,1.9595959595959593,3.473554132940433
0.04959235844761175,-0.009558143654566323,1.9797979797979797,3.476477215687243
0.0,-0.0,2.0,3.307506128716942
