run,anchor_id,method,outlier_method,position_error,constant_bias_error,linear_bias_error,anchor_position,estimated_position,constant_bias,linear_bias,noise_variance,outlier_probability,num_measurements
1,1,SIMPLE_LINEAR,NONE,10.89356576715429,0.11266495230582182,0.0285214291922975,"[2.0, 3.0, 0.0]","[0.02963435772402434, -0.009647108203949983, -10.282483097147974]",0.11236203565420874,1.0285214291922975,0.146398788362281,0.11973169683940732,100
1,1,SIMPLE_LINEAR,IMMEDIATE,5.725310567908332,0.11236203565420874,8.781219261077183,"[2.0, 3.0, 0.0]","[-0.009878433283905008, 0.23868011681004236, -4.59507152121954]",0.11236203565420874,1.0285214291922975,0.146398788362281,0.11973169683940732,100
1,1,LINEAR_REWEIGHTED,NONE,10.89356576715429,0.11266495230582182,0.0285214291922975,"[2.0, 3.0, 0.0]","[0.02963435772402434, -0.009647108203949983, -10.282483097147974]",0.11236203565420874,1.0285214291922975,0.146398788362281,0.11973169683940732,100
1,1,LINEAR_REWEIGHTED,IMMEDIATE,9.757343951227192,0.11236203565420874,181.923289138983,"[2.0, 3.0, 0.0]","[0.008817946528602658, 0.029218249605242847, -9.07829338609437]",0.11236203565420874,1.0285214291922975,0.146398788362281,0.11973169683940732,100
2,1,SIMPLE_LINEAR,NONE,10.876823543679741,1.0715890840985622,45.69190138189541,"[2.0, 3.0, 0.0]","[0.03205783392692396, -0.006318170997907657, -10.26618454373704]",0.04680559213273095,1.0046798356100861,0.011616722433639893,0.17323522915498704,100
2,1,SIMPLE_LINEAR,IMMEDIATE,5.590609390320033,0.04680559213273095,3.2818255311723847,"[2.0, 3.0, 0.0]","[0.0051269794649251525, 0.21624430642057377, -4.418834600382766]",0.04680559213273095,1.0046798356100861,0.011616722433639893,0.17323522915498704,100
2,1,LINEAR_REWEIGHTED,NONE,10.876823543679741,1.0715890840985622,45.69190138189541,"[2.0, 3.0, 0.0]","[0.03205783392692396, -0.006318170997907657, -10.26618454373704]",0.04680559213273095,1.0046798356100861,0.011616722433639893,0.17323522915498704,100
2,1,LINEAR_REWEIGHTED,IMMEDIATE,6.092464448646959,0.04680559213273095,0.004679835610086114,"[2.0, 3.0, 0.0]","[-0.14532928353962662, 0.10654979821745396, -4.9136169216798935]",0.04680559213273095,1.0046798356100861,0.011616722433639893,0.17323522915498704,100
3,1,SIMPLE_LINEAR,NONE,10.887747699069275,0.18080552798842084,0.02124217733388134,"[2.0, 3.0, 0.0]","[0.0302098101626882, -0.008877340850503401, -10.276654792018917]",0.18033450352296262,1.0212421773338813,0.004116898859160489,0.19398197043239887,100
3,1,SIMPLE_LINEAR,IMMEDIATE,5.733259039334227,0.18033450352296262,3.686245902730167,"[2.0, 3.0, 0.0]","[-0.02812929513009823, 0.2371080522950671, -4.596017717508273]",0.18033450352296262,1.0212421773338813,0.004116898859160489,0.19398197043239887,100
