method,outlier_method,use_linear_bias,use_constant_bias,use_trimmed_reweighted,avg_position_error,avg_constant_bias_error,avg_linear_bias_error,std_position_error,std_constant_bias_error,std_linear_bias_error
SIMPLE_LINEAR,NONE,True,True,True,10.934802419470017,0.7417321301816848,48.32845614447972,0.0,0.0,0.0
SIMPLE_LINEAR,NONE,True,True,False,10.942667302935957,0.0055056148054078435,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,NONE,True,False,True,10.933764941476829,0.02420583722848444,47.77846576919632,0.0,0.0,0.0
SIMPLE_LINEAR,NONE,True,False,False,10.866340169351064,0.02420583722848444,40.963013442719316,0.0,0.0,0.0
SIMPLE_LINEAR,NONE,False,True,True,0.9325973194366058,0.027484315996519283,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,NONE,False,True,False,1.941973155316533,2.551597562710592,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,IMMEDIATE,True,True,True,3.22162627005489,0.08105751859180624,39.04936084045615,0.0,0.0,0.0
SIMPLE_LINEAR,IMMEDIATE,True,True,False,5.757494908741367,0.5006242781955644,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,IMMEDIATE,True,False,True,3.2216872901453226,0.02420583722848444,39.0095350645289,0.0,0.0,0.0
SIMPLE_LINEAR,IMMEDIATE,True,False,False,5.8426628999472,0.02420583722848444,7.373496416143764,0.0,0.0,0.0
SIMPLE_LINEAR,IMMEDIATE,False,True,True,0.12595000295986788,0.023884064189325517,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,IMMEDIATE,False,True,False,0.42627066838716715,0.31598537412243444,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,COUNTER,True,True,True,5.918982546289419,0.024859205334030667,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,COUNTER,True,True,False,9.8702891657247,9.111153941669986,11.722539007898373,0.0,0.0,0.0
SIMPLE_LINEAR,COUNTER,True,False,True,5.918364942594857,0.02420583722848444,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,COUNTER,True,False,False,5.9326039912212085,0.02420583722848444,6.237365176415024,0.0,0.0,0.0
SIMPLE_LINEAR,COUNTER,False,True,True,1.007893101189243,0.02288910055463173,0.013199680920683576,0.0,0.0,0.0
SIMPLE_LINEAR,COUNTER,False,True,False,2.3690163100591137,1.537610611252228,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,NONE,True,True,True,10.934802419470017,0.7417321301816848,48.32845614447972,0.0,0.0,0.0
LINEAR_REWEIGHTED,NONE,True,True,False,10.873631145273908,1.6645124114214804,75.73482504625628,0.0,0.0,0.0
LINEAR_REWEIGHTED,NONE,True,False,True,10.933764941476829,0.02420583722848444,47.77846576919632,0.0,0.0,0.0
LINEAR_REWEIGHTED,NONE,True,False,False,10.872772180523969,0.02420583722848444,73.79594753585913,0.0,0.0,0.0
LINEAR_REWEIGHTED,NONE,False,True,True,0.9325973194366058,0.027484315996519283,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,NONE,False,True,False,0.7902892736245903,0.028974367596463924,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,IMMEDIATE,True,True,True,3.22162627005489,0.08105751859180624,39.04936084045615,0.0,0.0,0.0
LINEAR_REWEIGHTED,IMMEDIATE,True,True,False,5.743473290780998,0.2493735069276923,20.023485992589556,0.0,0.0,0.0
LINEAR_REWEIGHTED,IMMEDIATE,True,False,True,3.2216872901453226,0.02420583722848444,39.0095350645289,0.0,0.0,0.0
LINEAR_REWEIGHTED,IMMEDIATE,True,False,False,5.744382595124457,0.02420583722848444,19.964640924985886,0.0,0.0,0.0
LINEAR_REWEIGHTED,IMMEDIATE,False,True,True,0.12595000295986788,0.023884064189325517,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,IMMEDIATE,False,True,False,0.12711111603763686,0.023609299009215316,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,COUNTER,True,True,True,5.918982546289419,0.024859205334030667,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,COUNTER,True,True,False,7.432190214368203,0.45203980910649466,17.083057157527755,0.0,0.0,0.0
LINEAR_REWEIGHTED,COUNTER,True,False,True,5.918364942594857,0.02420583722848444,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,COUNTER,True,False,False,7.434337058146835,0.02420583722848444,16.90751073760616,0.0,0.0,0.0
LINEAR_REWEIGHTED,COUNTER,False,True,True,1.007893101189243,0.02288910055463173,0.013199680920683576,0.0,0.0,0.0
LINEAR_REWEIGHTED,COUNTER,False,True,False,1.1817161384098418,0.024035367377617002,0.013199680920683576,0.0,0.0,0.0
