x,y,z
1.794818694302848,-0.0,1.0
1.7572757230927987,0.11382329314565716,1.1601086607594955
1.7127976656683725,0.2421077574972676,1.3069582389467338
1.6616770761851436,0.38770093279640977,1.4341954687075251
1.6048221106918863,0.5487492466363632,1.5382673357421297
1.5433588440288544,0.7222843729618115,1.6164199222784672
1.4785630494106459,0.9047570021285896,1.666472340848986
1.4118339010404055,1.0921972602033938,1.6868038535972603
1.3446737698058089,1.2802952244259445,1.6763792371590485
1.2786676840370097,1.464454996214212,1.6348055063140166
1.2154570491110948,1.6398380840754865,1.5623818352906063
1.156692867652357,1.8014120679312966,1.4602024894400534
1.103940232243688,1.943986807139115,1.330242483294845
1.0584111298215093,2.0622069070385485,1.1754810255206343
1.0198565565909246,2.1502309327003655,1.0000805814240035
0.9776404280542726,2.1977757464690564,0.810456508123493
0.8779914258123345,2.170948298025981,0.6391370277302222
0.7067858159343993,2.0675624238381753,0.6391498631308031
0.5553329940590279,1.9369406699790286,0.6391626985313841
0.4230053029736456,1.7869760674647548,0.639175533931965
0.30928990036449683,1.622450060266222,0.639188369332546
0.3092899003644969,-0.0,1.0
6,0,1
0,-0.1,1
0,-0.1,0
