anchor_id,range,tag_position_x,tag_position_y,tag_position_z
1,4.357342,-0.7125687397876794,2.460709975594834,0.24686371666269966
2,3.095635,-0.7125717475654806,2.460729779391762,0.24687950055766683
3,4.666905,-0.7125691023061587,2.4607195898533742,0.2468729803101558
5,9.357262,-0.7125434738607503,2.4607260289634634,0.2468793779129482
6,1.097543,-0.712562579718108,2.4607165462669403,0.24686628239675265
1,4.34327,-0.7125612563514927,2.4606978241328274,0.24689813801910837
2,3.095635,-0.7125446063458828,2.4606901167759156,0.24689285143499526
3,4.591859,-0.7125394665869033,2.4606910560621955,0.246886613185352
4,6.200652,-0.7125579669891293,2.460689607604928,0.24687999761923501
5,9.347882,-0.7125653260999757,2.460683848768502,0.24686891139087505
6,1.102234,-0.7125716192053831,2.460678895343176,0.2468600389560084
1,4.390174,-0.7125538486144108,2.4607113296177348,0.24687451819617015
2,3.067493,-0.7125422911822381,2.460721687125243,0.246890429020098
3,4.812306,-0.7125543274463818,2.4607015641612007,0.24687832369932858
4,6.200652,-0.7125540926467324,2.4606893135779275,0.24687551298831686
5,9.33381,-0.7125679767884529,2.4606910833761466,0.24687376129991423
6,1.069401,-0.7125481604667215,2.460706876070267,0.24689360213830513
1,4.418316,-0.7125960383123079,2.460677336127267,0.24685830863071312
2,3.100326,-0.7125798585348001,2.460678617803111,0.24686092960494785
3,5.239129,-0.7125652463536678,2.4606801693858538,0.24686960411283906
4,6.158439,-0.7125814395804513,2.4606750076841117,0.24686380624600338
5,9.376024,-0.7125814395804513,2.4606750076841117,0.24686380624600338
6,1.05064,-0.71256807697686,2.460670362085018,0.24685535722745036
1,4.390174,-0.7125465161679847,2.4606942431891903,0.24687882363358454
2,3.062803,-0.7125674503908018,2.4606902332334624,0.2468645449231492
3,5.25789,-0.7125749290573915,2.460689213796506,0.24685967265004133
4,6.18189,-0.7125603042500098,2.460696843589801,0.2468680424551819
5,9.343192,-0.7125594854085017,2.460708500691871,0.24688232489227604
6,1.097543,-0.7125545744260073,2.460696879915466,0.24687575768270892
1,4.34327,-0.7125335110107698,2.4607154607618944,0.24687570308409296
2,3.072184,-0.712547797601902,2.4607034648116395,0.246852214342698
3,5.473647,-0.7125570258547896,2.4607138037848815,0.24684678168886798
4,6.158439,-0.7125400426007796,2.4607401508147295,0.24684509847707103
5,9.376024,-0.7125562632272767,2.4607383038778705,0.24683070928601403
6,1.102234,-0.7125537187824167,2.4607427114180807,0.2468268890395313
1,4.347961,-0.7125483106288993,2.46069769851651,0.24689058425260246
2,3.044042,-0.7125481060456531,2.4606779490947512,0.24689224944126975
3,4.657525,-0.7125549360549999,2.460630516613052,0.24685830472543244
4,6.158439,-0.7125253209879646,2.4605925692395934,0.24683332146701897
5,9.164958,-0.7125071228741744,2.4605656892712986,0.24682564102536425
1,4.376103,-0.712471688576344,2.4606428459530334,0.2468623580298195
2,3.067493,-0.7124571977694063,2.460659520977249,0.2468695441420613
4,6.233484,-0.7124292220550543,2.4606748797738254,0.24688817805662847
5,9.352572,-0.7124517277742555,2.4606612656322566,0.2468762783221565
6,1.120995,-0.712475024221563,2.4606487597915834,0.2468665928476671
1,4.362032,-0.712449190790715,2.4607322310570754,0.24682473168169988
2,3.02528,-0.7124634128925119,2.46072039324262,0.2468059091551053
3,5.511169,-0.7124430672863646,2.460738141679384,0.246812700826566
4,6.18189,-0.7124659538881484,2.4607452441282174,0.24680735905995518
5,9.347882,-0.7124608975049992,2.460743613749918,0.24680229965555758
6,1.092853,-0.7124521191722768,2.4607455735634254,0.24679902304203324
1,4.394865,-0.7123824818427562,2.460772683669984,0.24681291018667406
2,3.137849,-0.7123826595799228,2.460787424251779,0.24682769979049962
3,4.634073,-0.7123656565971425,2.460786165134513,0.24682852821511256
5,9.352572,-0.7123532335569868,2.4608068631299824,0.24684137698997588
6,1.158518,-0.7123622408212203,2.460805039415594,0.24683255551322275
1,4.408936,-0.7125255952846244,2.4604380504355325,0.24691959662380203
2,3.189443,-0.7125172345775608,2.4604418455232717,0.24688347716940792
3,4.812306,-0.7124991274191252,2.4604564456149136,0.24689013605479154
4,6.125606,-0.7124407079313774,2.460436918023665,0.24686667979262755
5,9.385404,-0.7124587481816171,2.4604464383057727,0.24687278453567796
